Order date;Catalog channel name;Catalog name;Catalog siteId;Order number;Order SKU;Histo SKU price;Order price;Difference price;Status price
22/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;8219708301-A;FAG3508510207584;70,01;70,01;0;ISO
22/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;QAJJSUPDQL-2-A;DRE6976233677293;159,43;159,43;0;ISO
22/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;404-2173410-1328358;EL800USBFRBIS;120,59;120,59;0;ISO
22/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;CM049305 UMBRELLA;S1704ZABX253W;522,29;522,29;0;ISO
22/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;402-9080180-3201901;SAM8806094672824;151,93;151,93;0;ISO
22/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;CVMWXQSOT;R1500EAEJ4363W;376,65;376,65;0;ISO
22/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;301137662-A;SAM8806095507057;116,61;116,61;0;ISO
22/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;96FFWBS7FPZOS;NXAWFEF00D;175,71;175,71;0;ISO
22/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;8270406202-A;NXA6MEF005;232,43;232,43;0;ISO
22/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;8351520901-A;NXA6MEF005;232,43;232,43;0;ISO
22/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;F905HZ62822-A;MSI4711377063944;75,81;75,81;0;ISO
21/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;EMROTSQDE5GES;LOG5099206088269;55,07;55,07;0;ISO
21/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;120570665_205298-A;LOG5099206088269;55,07;55,07;0;ISO
21/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;406-5416939-5145153;SAM8806094368079;116,5;116,5;0;ISO
21/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;408-5848889-1672324;EL1200USBFRBIS;164,78;164,78;0;ISO
21/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;171-7313673-8438738;EL1600USBFRBIS;230,91;230,91;0;ISO
21/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;8350286101-A;GEN8016361937871;191,17;191,17;0;ISO
21/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;H26XWHBOJX7QA;UM5302LALV190W;932,23;932,23;0;ISO
20/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;8347800701-A;SEB3045380018990;93,5;93,5;0;ISO
20/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;404-4516289-8339516;HP15SEQ2083NF;440,41;440,41;0;ISO
20/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;120555843_187500-A;HP0194850676970;86,43;86,43;0;ISO
20/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;TYSXBPYFX;EPS8715946725963;152,36;152,36;0;ISO
20/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;8347321602-A;COR0840006687993;90,45;90,45;0;ISO
20/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;120551919_182851-A;REM5038061105742;32,53;31,87;0,66;Trop cher
20/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;HYZ9PKTS3J-1-A;SAM1716903241440;366,75;366,75;0;ISO
20/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;FITVZLL2LCNSO;45496430702;70,1;70,1;0;ISO
20/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;RBMUJGRFK;LC421VAL;32,11;32,11;0;ISO
20/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;AGHNDPPJB;34Y64AA;21,21;21,21;0;ISO
19/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;F905HY47760-A;CH910D029FR;58,86;58,86;0;ISO
19/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;WDKDO6RCG3-1-A;GEN8016361937871;191,17;191,17;0;ISO
19/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;WEB24324AA58-A;BRANDTSM2602S;91,74;91,74;0;ISO
19/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;403-8668587-6623500;CAN1717288339881;37,07;37,07;0;ISO
19/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;FH2P7QI74ZZGW;VIE0766907009637;139,16;139,16;0;ISO
18/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;120522392_147571-A;WHI8003437861468;92,6;92,6;0;ISO
18/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;CM049224 TOPBIZFR;BRO4977766792141;194,09;194,09;0;ISO
18/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;TCWZOSOTE;SSD7CS9001TBRB;47,8;47,8;0;ISO
18/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;9BJGPN7KQDLXQ;PNY0751492786407;519,73;519,73;0;ISO
17/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;8343030201-A;82K202APFR;511,44;511,44;0;ISO
16/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;BZCUD2MH2O3FM;ALC3700601417050;30,76;30,76;0;ISO
16/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;23FKOP9A0P-1-A;82XB006UFR;313,17;313,17;0;ISO
16/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;A-2733094-1-A;45496453596;250,61;250,61;0;ISO
16/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;99MZJRPKZJNT6;LOG5099206093454;127,15;127,15;0;ISO
16/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;PQLPFXSER;CAN1717288339881;37,07;37,07;0;ISO
16/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;H4BAIA6GJS3VM;G2470HSUB1;109,63;109,63;0;ISO
16/11/2024;ACTUEL BURO;ACTUALBURO_NEW;5305;CVJE6QJID4VNO;COR0840006649038;59,5;59,5;0;ISO
